cluster_id,size,medoid_lat,medoid_lng,braking_events,swerve_events,roughness_events,hazard_type,avg_x,avg_y,avg_z,max_x,max_y,max_z,peak_events,offpeak_events,morning_peak,evening_peak,weekday_events,weekend_events,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,street_name
23,70,53.3186284,-6.2123884,32,23,28,mixed_braking_swerve_roughness,37.25714286,28.12857143,56.24285714,73,66,98,66,4,43,23,70,0,7,7,5,2,4,9,10,8,5,4,7,2,Merrion Road
14,67,53.36073303,-6.182436949,50,9,40,mixed_braking_roughness,50.70149254,25.26865672,62.29850746,80,52,93,42,25,1,41,16,51,2,4,6,1,0,16,5,14,6,8,4,1,Clontarf Road
83,65,53.3326799,-6.263388529,28,23,23,mixed_braking_swerve_roughness,34.53846154,32.15384615,50.73846154,69,69,91,56,9,20,36,65,0,4,0,0,0,0,0,11,6,1,27,12,4,Charlemont Street
32,65,53.31306652,-6.238704173,39,26,0,mixed_braking_swerve,32.73846154,27.23076923,29.36923077,73,92,51,39,26,35,4,65,0,0,4,0,0,1,0,7,13,7,19,8,6,Clonskeagh Road
13,65,53.36019739,-6.205779987,37,12,37,mixed_braking_roughness,45.03076923,31.81538462,60.61538462,73,74,87,23,42,2,21,15,50,5,8,0,8,0,8,9,7,4,7,3,6,Clontarf Road
62,64,53.273437,-6.2181765,26,31,11,mixed_braking_swerve,32.578125,31.15625,49.15625,66,92,88,51,13,37,14,64,0,8,1,0,2,1,0,29,5,3,15,0,0,Cycle Link at Drummartin Link Road via Salt Barn to Bracken Road
81,62,53.30379129,-6.209097774,10,1,57,roughness,33.58064516,19.83870968,70.75806452,57,44,107,54,8,0,54,60,2,4,8,21,5,0,9,6,4,2,2,1,0,Stillorgan Road
86,61,53.36764024,-6.182546874,32,10,48,mixed_braking_roughness,43.42622951,30.83606557,68.27868852,80,53,98,55,6,0,55,10,51,0,14,19,1,0,5,7,6,4,1,4,0,Mount Prospect Avenue
92,61,53.3305292,-6.2602717,23,36,5,mixed_braking_swerve,28.90163934,31.29508197,38.96721311,69,75,81,43,18,23,20,61,0,2,4,0,4,0,8,12,7,15,5,4,0,Charlemont Street
41,61,53.33268696,-6.26496797,49,6,24,mixed_braking_roughness,53.70491803,17.42622951,55.83606557,102,64,91,49,12,0,49,56,5,10,3,0,1,2,0,3,7,7,13,13,2,Camden Street Upper
15,61,53.33191465,-6.368944656,10,59,1,swerve,22.39344262,48.6557377,27.19672131,57,70,64,61,0,0,61,61,0,12,20,3,0,0,0,0,4,14,8,0,0,Park West Road
108,60,53.38201668,-6.261031883,1,59,1,swerve,8.8,54.95,43.71666667,55,76,64,24,36,0,24,60,0,0,2,0,0,0,0,0,0,0,11,47,0,Hampstead Avenue
78,59,53.2778769,-6.2075148,22,41,5,mixed_braking_swerve,31.69491525,41.28813559,33.28813559,63,76,72,22,37,0,22,59,0,0,0,0,0,7,0,39,7,6,0,0,0,Blackthorn Avenue
96,58,53.2823938,-6.3064412,38,25,1,mixed_braking_swerve,41.74137931,27.46551724,35.51724138,75,74,64,0,58,0,0,58,0,0,0,0,0,0,0,0,6,2,26,0,24,Templeroan Way
80,55,53.27904466,-6.197705033,29,7,41,mixed_braking_roughness,42.70909091,26.32727273,65.03636364,77,60,101,53,2,47,6,49,6,0,5,2,9,0,7,14,6,1,5,6,0,Brewery Road
79,55,53.3554293,-6.2685536,0,54,4,swerve,9.2,51.58181818,42.76363636,39,87,71,13,42,0,13,55,0,0,0,0,0,0,0,47,6,1,1,0,0,Fontenoy Street
51,54,53.2671989,-6.2269539,10,54,0,swerve,41.12962963,49.07407407,7.055555556,56,68,30,32,22,0,32,54,0,0,0,0,0,0,0,54,0,0,0,0,0,Sandyford Downs
111,53,53.36702377,-6.185524276,1,0,53,roughness,20.33962264,17.18867925,71.22641509,53,29,94,22,31,0,22,10,43,0,18,21,0,0,3,4,6,0,0,0,1,Mount Prospect Grove
95,51,53.31989755,-6.278857166,27,46,1,mixed_braking_swerve,44.29411765,48.15686275,25.1372549,65,66,66,43,8,0,43,51,0,20,0,0,0,0,0,23,0,8,0,0,0,Harold's Cross Road
94,51,53.29526623,-6.29585059,0,50,21,mixed_swerve_roughness,6.411764706,51.35294118,56.39215686,26,77,72,29,22,23,6,28,23,0,0,0,0,0,0,12,39,0,0,0,0,Charleville Square
77,51,53.2827219,-6.2249541,22,22,16,mixed_braking_swerve_roughness,39.15686275,28.07843137,41.17647059,70,62,86,44,7,11,33,49,2,1,3,0,1,5,2,4,11,1,20,3,0,Drummartin Link Road
75,51,53.29936295,-6.204917253,39,4,30,mixed_braking_roughness,51.01960784,24.03921569,63.98039216,75,47,99,45,6,45,0,48,3,1,5,3,11,3,4,8,2,3,3,8,0,Stillorgan Road
35,51,53.3365116,-6.3062645,19,0,38,mixed_braking_roughness,38.64705882,17.7254902,65.78431373,80,37,109,16,35,10,6,33,18,0,15,0,0,2,0,7,6,16,5,0,0,Dolphin Road
42,51,53.35435183,-6.273122492,41,4,14,mixed_braking_roughness,49.50980392,13.78431373,51.01960784,82,53,81,48,3,33,15,50,1,3,6,1,3,5,1,0,4,2,16,8,2,Western Way
102,51,53.27296178,-6.200852491,21,21,14,mixed_braking_swerve_roughness,34.8627451,25.43137255,48.84313725,66,55,99,34,17,16,18,51,0,4,0,4,4,4,1,3,16,11,2,1,1,Leopardstown Road
113,49,53.330155,-6.2654813,1,47,2,swerve,15.20408163,44.24489796,50.71428571,47,55,65,39,10,31,8,49,0,0,0,0,0,0,14,14,6,10,1,4,0,Portobello Harbour
64,48,53.28286078,-6.232357421,13,16,29,mixed_braking_swerve_roughness,33.66666667,30.5625,48.45833333,67,70,98,41,7,23,18,42,6,0,0,0,18,0,0,1,4,6,1,12,6,Balally Park
97,47,53.3483092,-6.251421,23,13,20,mixed_braking_swerve_roughness,43.23404255,22.21276596,44.93617021,123,62,103,34,13,19,15,36,11,2,0,0,5,3,7,0,5,9,3,7,6,Custom House Quay
33,47,53.3583326,-6.2485039,22,24,9,mixed_braking_swerve,34.53191489,33.34042553,41.89361702,67,68,73,9,38,2,7,37,10,2,30,3,1,0,0,0,6,0,0,5,0,Richmond Crescent
63,47,53.31818662,-6.266451171,26,38,1,mixed_braking_swerve,41.65957447,48.68085106,24.76595745,68,73,68,35,12,9,26,47,0,0,0,0,0,0,0,25,5,13,4,0,0,Salem Court
73,47,53.2373544,-6.2842212,36,47,1,mixed_braking_swerve,56.82978723,60.4893617,8.787234043,76,80,66,44,3,44,0,0,47,0,0,0,0,0,0,3,0,44,0,0,0,Pine Forest Road
49,46,53.34831913,-6.254958928,5,28,21,mixed_swerve_roughness,27.73913043,38.67391304,46.04347826,71,72,108,24,22,0,24,34,12,0,0,4,3,4,3,2,8,6,2,14,0,Beresford Place
